GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G53003300219032","2010","Washington","53","King County","033","021903","2",1113.00,1113,1113,1046,"530330219032"
"G53003300219033","2010","Washington","53","King County","033","021903","3",716.00,716,716,711,"530330219033"
"G53003300219034","2010","Washington","53","King County","033","021903","4",703.00,703,703,651,"530330219034"
"G53003300219035","2010","Washington","53","King County","033","021903","5",1184.00,1184,1184,1277,"530330219035"
"G53003300219041","2010","Washington","53","King County","033","021904","1",1854.00,1854,1854,1943,"530330219041"
"G53003300219042","2010","Washington","53","King County","033","021904","2",921.00,921,921,949,"530330219042"
"G53003300219043","2010","Washington","53","King County","033","021904","3",1275.00,1275,1275,1195,"530330219043"
"G53003300219044","2010","Washington","53","King County","033","021904","4",814.00,814,814,956,"530330219044"
"G53003300219051","2010","Washington","53","King County","033","021905","1",1147.35,1147,1153,1426,"530330219051"
"G53003300219052","2010","Washington","53","King County","033","021905","2",1105.00,1105,1105,1132,"530330219052"
"G53003300219053","2010","Washington","53","King County","033","021905","3",1520.00,1520,1520,1474,"530330219053"
"G53003300219054","2010","Washington","53","King County","033","021905","4",993.00,993,993,918,"530330219054"
"G53003300219061","2010","Washington","53","King County","033","021906","1",1666.12,1630,2195,1990,"530330219061"
"G53003300219062","2010","Washington","53","King County","033","021906","2",740.00,740,740,736,"530330219062"
"G53003300219063","2010","Washington","53","King County","033","021906","3",1241.00,1241,1241,1185,"530330219063"
"G53003300220011","2010","Washington","53","King County","033","022001","1",1290.00,1290,1290,1134,"530330220011"
"G53003300220012","2010","Washington","53","King County","033","022001","2",1577.00,1577,1577,2226,"530330220012"
"G53003300220013","2010","Washington","53","King County","033","022001","3",946.00,946,946,1378,"530330220013"
"G53003300220031","2010","Washington","53","King County","033","022003","1",1413.00,1413,1413,1253,"530330220031"
"G53003300220032","2010","Washington","53","King County","033","022003","2",1112.00,1112,1112,1097,"530330220032"
"G53003300220033","2010","Washington","53","King County","033","022003","3",931.00,931,931,867,"530330220033"
"G53003300220034","2010","Washington","53","King County","033","022003","4",833.00,833,833,762,"530330220034"
"G53003300220035","2010","Washington","53","King County","033","022003","5",1026.00,1026,1026,1052,"530330220035"
"G53003300220051","2010","Washington","53","King County","033","022005","1",1663.00,1663,1663,1737,"530330220051"
